"filename", "language", "PHP", "JSON", "C++", "Python", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/oathompsonjones/Sites/CSS/main.css", "CSS", 0, 0, 0, 0, 0, 79, 0, 2, 3, 84
"/Users/oathompsonjones/Sites/Classes/JavaScript/AnimationEditor.js", "JavaScript", 0, 0, 0, 0, 0, 0, 531, 0, 1, 532
"/Users/oathompsonjones/Sites/Classes/JavaScript/Matrix.js", "JavaScript", 0, 0, 0, 0, 0, 0, 175, 0, 1, 176
"/Users/oathompsonjones/Sites/Classes/PHP/animation.php", "PHP", 1121, 0, 0, 0, 0, 0, 0, 156, 30, 1307
"/Users/oathompsonjones/Sites/Classes/PHP/assignment.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 22, 5, 189
"/Users/oathompsonjones/Sites/Classes/PHP/assignmentWork.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 21, 5, 71
"/Users/oathompsonjones/Sites/Classes/PHP/comment.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 21, 5, 90
"/Users/oathompsonjones/Sites/Classes/PHP/frame.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 17, 4, 60
"/Users/oathompsonjones/Sites/Classes/PHP/group.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 41, 9, 143
"/Users/oathompsonjones/Sites/Classes/PHP/message.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 22, 5, 86
"/Users/oathompsonjones/Sites/Classes/PHP/post.php", "PHP", 204, 0, 0, 0, 0, 0, 0, 42, 8, 254
"/Users/oathompsonjones/Sites/Classes/PHP/user.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 35, 8, 133
"/Users/oathompsonjones/Sites/Classes/TypeScript/AnimationEditor.ts", "TypeScript", 0, 0, 0, 0, 516, 0, 0, 379, 48, 943
"/Users/oathompsonjones/Sites/Classes/TypeScript/Matrix.ts", "TypeScript", 0, 0, 0, 0, 155, 0, 0, 135, 20, 310
"/Users/oathompsonjones/Sites/Database/database.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/oathompsonjones/Sites/Include/footer.inc", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/oathompsonjones/Sites/Include/header.inc", "PHP", 89, 0, 0, 0, 0, 0, 0, 6, 7, 102
"/Users/oathompsonjones/Sites/Include/loginForm.inc", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/oathompsonjones/Sites/Include/redirect.inc", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/oathompsonjones/Sites/Include/signupForm.inc", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"/Users/oathompsonjones/Sites/Output Algorithms/16x9/Arduino.ino", "C++", 0, 0, 144, 0, 0, 0, 0, 0, 6, 150
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Monochromatic/Arduino.ino", "C++", 0, 0, 51, 0, 0, 0, 0, 3, 4, 58
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Monochromatic/Micro:Bit.py", "Python", 0, 0, 0, 32, 0, 0, 0, 2, 4, 38
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Monochromatic/Micro:Bit.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 2, 3, 43
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Monochromatic/Pico.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 2, 3, 57
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/RGB/Arduino.ino", "C++", 0, 0, 31, 0, 0, 0, 0, 3, 4, 38
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/RGB/Micro:Bit.py", "Python", 0, 0, 0, 19, 0, 0, 0, 2, 4, 25
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/RGB/Micro:Bit.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 2, 3, 28
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/RGB/Pico.cpp", "C++", 0, 0, 35, 0, 0, 0, 0, 3, 4, 42
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/RGB/Pico.py", "Python", 0, 0, 0, 18, 0, 0, 0, 2, 4, 24
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Variable Brightness/Arduino.ino", "C++", 0, 0, 51, 0, 0, 0, 0, 3, 4, 58
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Variable Brightness/Micro:Bit.py", "Python", 0, 0, 0, 32, 0, 0, 0, 2, 4, 38
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Variable Brightness/Micro:Bit.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 2, 3, 43
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Variable Brightness/Pico.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 2, 3, 57
"/Users/oathompsonjones/Sites/Output Algorithms/Custom/Variable Brightness/Pico.py", "Python", 0, 0, 0, 31, 0, 0, 0, 2, 4, 37
"/Users/oathompsonjones/Sites/Output Algorithms/Lol Shield/C++.ino", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"/Users/oathompsonjones/Sites/Output Algorithms/Micro:Bit/MicroPython.py", "Python", 0, 0, 0, 81, 0, 0, 0, 0, 5, 86
"/Users/oathompsonjones/Sites/Output Algorithms/Micro:Bit/TypeScript.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 1, 83
"/Users/oathompsonjones/Sites/Output Algorithms/NeoPixel/Arduino (Mega).ino", "C++", 0, 0, 616, 0, 0, 0, 0, 1, 6, 623
"/Users/oathompsonjones/Sites/Output Algorithms/Pico RGB Keypad/C++.cpp", "C++", 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"/Users/oathompsonjones/Sites/Output Algorithms/Pico RGB Keypad/MicroPython.py", "Python", 0, 0, 0, 54, 0, 0, 0, 0, 4, 58
"/Users/oathompsonjones/Sites/Output Algorithms/ScrollBit/MicroPython.py", "Python", 0, 0, 0, 313, 0, 0, 0, 2, 3, 318
"/Users/oathompsonjones/Sites/Output Algorithms/ScrollBit/TypeScript.ts", "TypeScript", 0, 0, 0, 0, 314, 0, 0, 4, 2, 320
"/Users/oathompsonjones/Sites/Output Algorithms/ScrollBit/scrollbit.py", "Python", 0, 0, 0, 135, 0, 0, 0, 0, 29, 164
"/Users/oathompsonjones/Sites/Pages/404.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/oathompsonjones/Sites/Pages/animations.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/oathompsonjones/Sites/Pages/class.php", "PHP", 415, 0, 0, 0, 0, 0, 0, 10, 3, 428
"/Users/oathompsonjones/Sites/Pages/editor.php", "PHP", 250, 0, 0, 0, 0, 0, 0, 5, 12, 267
"/Users/oathompsonjones/Sites/Pages/generateCode.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 2, 138
"/Users/oathompsonjones/Sites/Pages/home.php", "PHP", 436, 0, 0, 0, 0, 0, 0, 0, 10, 446
"/Users/oathompsonjones/Sites/Pages/login.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 2, 32
"/Users/oathompsonjones/Sites/Pages/logout.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/oathompsonjones/Sites/Pages/profile.php", "PHP", 284, 0, 0, 0, 0, 0, 0, 0, 5, 289
"/Users/oathompsonjones/Sites/Pages/signup.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 8, 2, 42
"/Users/oathompsonjones/Sites/Utils/Forms/createAssignment.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/createClass.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/oathompsonjones/Sites/Utils/Forms/deleteAnimation.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/deleteAssignment.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteChatMessage.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteClass.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/deleteComment.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteUser.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/followUser.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/generateCode.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/Users/oathompsonjones/Sites/Utils/Forms/handInAssignment.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/joinClass.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/kickUserFromClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/likePost.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/makeAdmin.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/muteUserInClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/postComment.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/resetPassword.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/saveAnimation.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 2, 27
"/Users/oathompsonjones/Sites/Utils/Forms/saveClass.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/sendChatMessage.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/shareAnimation.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/unFollowUser.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/unLikePost.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/unMuteUserInClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/unShareAnimation.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/updateClassChatInput.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/oathompsonjones/Sites/Utils/Forms/updateMessages.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/oathompsonjones/Sites/Utils/Functions/arrayMappers.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 95, 2, 174
"/Users/oathompsonjones/Sites/Utils/Functions/arraySorters.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 6, 2, 13
"/Users/oathompsonjones/Sites/index.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 14, 10, 67
"/Users/oathompsonjones/Sites/tsconfig.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 5, 0, 34
"Total", "-", 4088, 29, 1152, 715, 1166, 79, 706, 1094, 398, 9427